LDD_ID,BL_ID,R,G,B,Material
309,22,206,206,206,Chrome
310,21,223,193,118,Chrome
114,100,254,0,254,Glitter
117,101,247,247,247,Glitter
122,122,254,203,152,Glitter
129,102,67,84,147,Glitter
132,132,0,0,0,Glitter
298,67,118,118,118,Metallic
299,65,223,193,118,Metallic
20,60,223,223,223,Milky
50,46,229,223,211,Milky
294,118,213,220,138,Milky
329,159,245,243,215,Milky
127,61,222,172,102,Pearl
131,66,160,160,160,Pearl
139,84,118,77,59,Pearl
145,78,91,117,144,Pearl
146,146,129,117,144,Pearl
147,81,131,114,79,Pearl
148,77,72,77,72,Pearl
149,149,10,19,39,Pearl
150,119,152,155,153,Pearl
168,168,96,86,76,Pearl
176,176,148,81,72,Pearl
178,178,171,103,58,Pearl
179,95,115,114,113,Pearl
183,83,246,242,223,Pearl
184,184,214,0,38,Pearl
185,185,0,89,163,Pearl
186,186,0,142,60,Pearl
187,187,87,57,44,Pearl
189,189,172,130,71,Pearl
200,70,106,121,68,Pearl
296,61,173,173,173,Pearl
297,115,185,149,59,Pearl
301,66,160,160,160,Pearl
315,95,140,140,140,Pearl
316,77,62,60,57,Pearl
1,1,217,217,214,Solid
2,9,158,162,162,Solid
3,33,251,216,114,Solid
4,106,229,106,84,Solid
5,2,211,188,141,Solid
6,38,162,228,184,Solid
7,7,246,141,46,Solid
8,0,140,0,255,Solid
9,23,236,179,203,Solid
11,72,171,202,233,Solid
12,29,213,120,0,Solid
13,13,255,130,0,Solid
14,0,120,252,120,Solid
15,15,236,232,26,Solid
16,94,255,135,156,Solid
17,0,255,148,148,Solid
18,28,229,158,109,Solid
19,160,219,138,6,Solid
21,5,239,51,64,Solid
22,47,226,119,205,Solid
23,7,0,61,165,Solid
24,3,255,205,0,Solid
25,8,105,63,35,Solid
26,11,39,37,31,Solid
27,10,81,83,74,Solid
28,6,0,132,61,Solid
29,37,128,224,167,Solid
36,96,254,203,139,Solid
37,36,0,150,57,Solid
38,68,184,97,37,Solid
39,44,203,211,235,Solid
45,62,198,218,231,Solid
100,26,255,179,171,Solid
101,25,255,134,116,Solid
102,42,108,172,228,Solid
103,49,178,180,178,Solid
104,24,155,38,182,Solid
105,31,255,163,0,Solid
106,4,255,130,0,Solid
107,39,0,134,117,Solid
108,108,110,76,30,Solid
110,43,30,34,170,Solid
112,73,72,92,199,Solid
115,76,206,220,0,Solid
116,40,0,178,169,Solid
118,41,156,219,217,Solid
119,34,181,189,0,Solid
120,35,194,225,137,Solid
121,32,255,181,73,Solid
123,123,255,103,31,Solid
124,71,175,22,133,Solid
125,125,255,185,144,Solid
128,128,184,97,37,Solid
133,133,255,103,31,Solid
134,134,197,232,108,Solid
135,55,91,127,149,Solid
136,54,161,146,178,Solid
137,137,255,127,50,Solid
138,69,155,148,95,Solid
140,63,0,56,101,Solid
141,80,44,82,52,Solid
144,144,93,121,117,Solid
151,48,120,159,144,Solid
153,58,156,97,105,Solid
154,59,155,39,67,Solid
180,161,204,138,0,Solid
188,0,0,158,206,Solid
190,190,255,215,0,Solid
191,110,255,163,0,Solid
192,88,122,62,58,Solid
193,193,207,69,32,Solid
194,86,162,170,173,Solid
195,97,0,71,187,Solid
196,109,0,51,160,Solid
197,0,49,43,135,Solid
198,93,152,29,151,Solid
199,85,91,103,112,Solid
208,99,193,198,200,Solid
209,209,172,132,0,Solid
210,210,74,119,41,Solid
211,211,44,213,196,Solid
212,105,105,179,231,Solid
213,213,48,127,226,Solid
216,216,150,56,33,Solid
217,91,96,61,32,Solid
218,218,184,132,203,Solid
219,73,104,91,199,Solid
220,220,159,174,229,Solid
221,47,233,60,172,Solid
222,104,241,167,220,Solid
223,223,252,155,179,Solid
224,224,217,200,158,Solid
225,225,253,190,135,Solid
226,103,251,219,101,Solid
232,87,5,195,222,Solid
233,0,96,186,118,Solid
268,89,51,0,114,Solid
269,269,66,152,181,Solid
283,90,252,200,155,Solid
308,120,49,38,29,Solid
312,150,170,125,85,Solid
321,153,0,150,200,Solid
322,156,113,197,232,Solid
323,152,185,220,210,Solid
324,157,160,94,181,Solid
325,154,202,162,221,Solid
326,158,212,235,142,Solid
330,155,115,123,76,Solid
306,116,118,77,59,Speckle
10,10,255,255,189,Transparent
40,12,238,238,238,Transparent
41,17,184,0,0,Transparent
42,15,173,221,237,Transparent
43,14,0,133,184,Transparent
44,19,255,230,34,Transparent
47,18,203,78,41,Transparent
48,20,115,180,100,Transparent
49,16,250,241,91,Transparent
109,109,0,20,20,Transparent
111,13,187,178,158,Transparent
113,50,253,142,207,Transparent
126,51,111,122,184,Transparent
143,74,165,205,240,Transparent
157,121,255,246,92,Transparent
158,50,241,142,187,Transparent
182,98,225,141,10,Transparent
227,108,201,231,136,Transparent
228,0,85,165,175,Transparent
229,113,172,212,222,Transparent
230,107,236,163,201,Transparent
231,164,252,183,109,Transparent
234,0,251,232,144,Transparent
236,51,141,115,179,Transparent
284,144,224,208,229,Transparent
285,108,228,214,218,Transparent
311,108,175,210,70,Transparent
336,61,173,173,173,Pearl
341,222,252,183,109,Glitter
351,0,86,230,70,Glitter
353,220,255,109,119,Solid
360,0,252,252,252,Transparent
362,0,174,233,239,Transparent
364,224,223,102,149,Transparent
